Name,Stage,Product Line,Email,Phone,Contact Name,Location,Category,Notes
PT Boga Mitra Sarana,Target Outreach,Bawang Merah Goreng,info@bogamitrasarana.com,021-85936170,Tim Purchasing / Procurement,"Cikarang Barat, Bekasi",Institutional Catering,"Kapasitas hingga 10.000 porsi/hari. Kebutuhan: Bawang goreng slice bulk 20-25 kg / karton 10 kg Franco Cikarang. Potensi cross-sell: Bawang Putih Kupas."
PT Kreasi Rasa Inti Selera (KRAIS),Target Outreach,Bawang Merah Goreng,info@kraisfood.net,+62 819-9505-0266,Ibu Siti Nurbayti,Bekasi,Seasoning Manufacturer,"Pabrik bumbu mie/snack/meat. Butuh irisan & bubuk/giling. Kemasan industri karung 20-25 kg."
Restu Mande,Target Outreach,Bawang Merah Goreng,restumande.id@gmail.com,0813-1379-1209,Owner / Purchasing,"Bandung / Cileunyi",RM Padang & Central Kitchen,"Central kitchen nasi box Padang & rendang instan. Kebutuhan: Bawang goreng slice bal 5 kg / karton 10 kg."
Bakso Boedjangan (CRP Group),Target Outreach,Bawang Merah Goreng,kemitraan@citarasaprima.com,0812-2227-7800,Central Kitchen Procurement,"Bandung / Jakarta",Restaurant Chain,"Menu Yamin & Nasi Goreng Urat terbukti pakai bawang goreng. Kebutuhan: Topping renyah multi-outlet bal 5 kg."
PT Rajo Food Solutions,Target Outreach,Bawang Merah Goreng,,0852-1261-6463,Procurement / Owner,Depok,B2B Food Solutions,"Produksi sambal kemasan & bumbu 500+ kg/hari. Butuh slice & giling kasar untuk racikan sambal."
Joze Food,Lead,Bawang Merah Goreng,contact@jozefood.com,0852-1698-0637,Purchasing,Bogor,Central Kitchen / HORECA,"Central kitchen distributor HORECA Bogor. Potensi pasokan rutin dekat gudang Bogor."
PT Paradise Seera Abadi,Lead,Bawang Merah Goreng,paradiseseeraabadi@gmail.com,+62 896-9283-1011,Purchasing,Bandung / Bekasi,Catering & Foodservice,"Diet & employee catering massal. Kebutuhan konsumsi bulk rutin."
Citra Boga Catering,Lead,Bawang Merah Goreng,,022-750-1921,Tim Pengadaan,Bandung,Corporate Catering,"Katering korporat Bandung. Pemakaian rutin bulanan untuk nasi box & prasmanan."
Miranty Catering,Lead,Bawang Merah Goreng,,+62 821-5115-5525,Tim Dapur,Bandung,Corporate Catering,"Nasi box & event catering Bandung. Pemakaian berulang."
PT Belfoods Indonesia,Lead,Lada Bubuk,,021-8993-1234,Felicia Kurniawan (GM Procurement),Bogor / Jonggol,Processed Food Manufacturer,"Manufaktur sosis, nugget, bakso. Kebutuhan industri: Lada Putih & Hitam Murni 25 kg zak."
PT Karawang Foods Lestari,Lead,Lada Bubuk,salessupport@karawangfoodslestari.com,021-2961-7899,Procurement,"Cikarang, Bekasi",Sauces & Seasoning,"Pabrik bumbu & saus industri. Kebutuhan: Lada bubuk murni mesh 60-80 zak industri."
PT Bersama Olah Boga,Lead,Bawang Putih Kupas,,,Tim Pengadaan,Bogor / Depok,Food Processor,"Central kitchen & olahan makanan. Kapasitas pasokan gudang Bogor: Bawang putih kupas basah/kering 1.5 ton/hari."
PT AIMFOOD Manufacturing Indonesia,Lead,Rempah Bubuk,headoffice@aimfood.info,021-2961-8989,Bagian Pembelian,"Cikarang, Bekasi",OEM / Functional Food,"Manufaktur maklon/OEM herbal, minuman fungsional, bumbu. Kebutuhan: Kunyit, Jahe, Temulawak bubuk."
Golden Seasoning Factory,Lead,Rempah Bubuk,,+62 895-7084-11411,Bagian Pembelian,Katapang Bandung,Seasoning Manufacturer,"Pabrik bumbu & seasoning gurih di Katapang Bandung. Kebutuhan: Ketumbar & Bawang bubuk/giling."
